id,user_id,title,cadence,status,start_date,sprint_id,priority,continued_from_id,root_lineage_id,completed_at,created_at,updated_at
ebd1627b-030b-4776-b46d-92be0e8fbbca,6daf1120-2e6a-488d-9174-51321f7308ca,Fully recover from lower pack issue,WEEKLY,NOT_STARTED,2025-10-20,,0,,ebd1627b-030b-4776-b46d-92be0e8fbbca,,2025-10-24 15:33:45.868618,2025-10-24 15:33:45.868632
ce46791e-3f93-4cc4-bfb7-6c7f711443dc,6daf1120-2e6a-488d-9174-51321f7308ca,Make progress on hOS/Neo Cybernetica pitch assets,WEEKLY,NOT_STARTED,2025-10-20,,0,,ce46791e-3f93-4cc4-bfb7-6c7f711443dc,,2025-10-24 15:34:00.309222,2025-10-24 15:34:00.309236
7f126c6c-e0a4-4ad1-a4d1-61c822d8a8e6,6daf1120-2e6a-488d-9174-51321f7308ca,Spend time learning to code,WEEKLY,NOT_STARTED,2025-10-20,,0,,7f126c6c-e0a4-4ad1-a4d1-61c822d8a8e6,,2025-10-24 15:34:11.940675,2025-10-24 15:34:11.940688
e59c08fb-aa9d-4384-b5db-2ed461548195,6daf1120-2e6a-488d-9174-51321f7308ca,Book flights for Thanksgiving,WEEKLY,NOT_STARTED,2025-10-20,,0,,e59c08fb-aa9d-4384-b5db-2ed461548195,,2025-10-24 15:34:25.945383,2025-10-24 15:34:25.945405
806a86ce-580e-42d8-aa74-d423fa621167,6daf1120-2e6a-488d-9174-51321f7308ca,Send birthday card to Dad,WEEKLY,NOT_STARTED,2025-10-20,,0,,806a86ce-580e-42d8-aa74-d423fa621167,,2025-10-24 15:34:32.009289,2025-10-24 15:34:32.009304
c9e5c76a-1a6c-45e6-9160-894eb78dffbb,6daf1120-2e6a-488d-9174-51321f7308ca,Drop pants at tailor,WEEKLY,NOT_STARTED,2025-10-20,,0,,c9e5c76a-1a6c-45e6-9160-894eb78dffbb,,2025-10-24 15:34:37.781877,2025-10-24 15:34:37.781892
e1b1b303-78f6-4623-b44f-7da9e443f600,6daf1120-2e6a-488d-9174-51321f7308ca,Find an app or online course to start learning Russian,WEEKLY,COMPLETED,2025-11-03,,0,,e1b1b303-78f6-4623-b44f-7da9e443f600,2025-11-09 17:57:37.902762,2025-11-02 18:18:09.652642,2025-11-09 17:57:37.902762
49b06180-5311-483b-bd91-1f4db2d193bd,6daf1120-2e6a-488d-9174-51321f7308ca,Do not re-injure my back,WEEKLY,COMPLETED,2025-11-03,,0,,49b06180-5311-483b-bd91-1f4db2d193bd,2025-11-09 17:57:40.885788,2025-11-02 18:18:25.963635,2025-11-09 17:57:40.885788
48692a83-e8ab-4d03-9515-4d6155868242,6daf1120-2e6a-488d-9174-51321f7308ca,Finalize my flights home for Thanksgiving,WEEKLY,COMPLETED,2025-11-03,,0,,48692a83-e8ab-4d03-9515-4d6155868242,2025-11-09 17:57:43.418313,2025-11-02 18:18:39.670921,2025-11-09 17:57:43.418313
a08f5234-67ff-413e-8563-7af53475db39,6daf1120-2e6a-488d-9174-51321f7308ca,Finalize hOS & Neo Cybernetica videos,WEEKLY,NOT_STARTED,2025-11-10,,0,,a08f5234-67ff-413e-8563-7af53475db39,,2025-11-09 17:58:02.451939,2025-11-09 17:58:02.451963
4e7d58ef-3cf6-4d3f-9bef-f5d3c5e5f3df,6daf1120-2e6a-488d-9174-51321f7308ca,Make progress on hOS and Neo Cybernetica pitch assets,WEEKLY,COMPLETED,2025-10-27,,0,,4e7d58ef-3cf6-4d3f-9bef-f5d3c5e5f3df,2025-11-02 18:15:32.469137,2025-10-26 17:58:48.832384,2025-11-02 18:15:32.469137
6254e4a6-4e74-4dd3-b78a-3ad1acbf6e47,6daf1120-2e6a-488d-9174-51321f7308ca,Fix my lower back,WEEKLY,COMPLETED,2025-10-27,,0,,6254e4a6-4e74-4dd3-b78a-3ad1acbf6e47,2025-11-02 18:15:34.234167,2025-10-26 17:58:58.529049,2025-11-02 18:15:34.234167
720543d9-6edb-4c0a-956d-9c92e62ef0a6,6daf1120-2e6a-488d-9174-51321f7308ca,Spend time learning to code,WEEKLY,COMPLETED,2025-10-27,,0,,720543d9-6edb-4c0a-956d-9c92e62ef0a6,2025-11-02 18:15:36.812306,2025-10-26 17:59:08.433608,2025-11-02 18:15:36.812306
f56d9ae8-d403-4e89-947d-a36903fb1a3d,6daf1120-2e6a-488d-9174-51321f7308ca,Call my Dad for his birthday,WEEKLY,COMPLETED,2025-10-27,,0,,f56d9ae8-d403-4e89-947d-a36903fb1a3d,2025-11-02 18:15:53.816648,2025-10-26 17:59:18.435638,2025-11-02 18:15:53.816648
5069277d-15a0-404e-b8eb-568bc3796710,6daf1120-2e6a-488d-9174-51321f7308ca,Start learning a new language,WEEKLY,NOT_STARTED,2025-11-10,,0,,5069277d-15a0-404e-b8eb-568bc3796710,,2025-11-09 17:58:09.888419,2025-11-09 17:58:09.888433
14dce4d7-fedf-4e34-966c-8dc67e2104bf,6daf1120-2e6a-488d-9174-51321f7308ca,Finalize travel plans for Helsinki/Vienna/Nashville,WEEKLY,NOT_STARTED,2025-11-10,,0,,14dce4d7-fedf-4e34-966c-8dc67e2104bf,,2025-11-09 17:58:25.163858,2025-11-09 17:58:25.163872
837cb133-95e8-4bf3-839d-ee9afaf13285,6daf1120-2e6a-488d-9174-51321f7308ca,Do not re-injure my back,WEEKLY,NOT_STARTED,2025-11-10,,0,,837cb133-95e8-4bf3-839d-ee9afaf13285,,2025-11-09 17:58:38.598827,2025-11-09 17:58:38.598842
88cf6e3d-c792-45af-b968-5b49db4776fb,6daf1120-2e6a-488d-9174-51321f7308ca,Finalize hOS and Neo Cybernetica videos,WEEKLY,FAILED,2025-11-03,,0,,88cf6e3d-c792-45af-b968-5b49db4776fb,,2025-11-02 18:17:53.358345,2025-11-09 17:57:33.486203
e1daaa84-a8f9-4301-bd5c-033cf0c7bd1c,6daf1120-2e6a-488d-9174-51321f7308ca,Check on dad's health,WEEKLY,NOT_STARTED,2025-11-10,,0,,e1daaa84-a8f9-4301-bd5c-033cf0c7bd1c,,2025-11-09 17:58:44.570326,2025-11-09 17:58:44.570337
87d604e3-3949-4b60-92cf-645c274951bd,6daf1120-2e6a-488d-9174-51321f7308ca,Schedule meetings for Slush,WEEKLY,NOT_STARTED,2025-11-10,,0,,87d604e3-3949-4b60-92cf-645c274951bd,,2025-11-09 18:04:16.479162,2025-11-09 18:04:16.479176
28a460c1-a8dc-4c34-a9fc-3a1c4c6e0df4,6daf1120-2e6a-488d-9174-51321f7308ca,Start learning a new language in Pimsleur,WEEKLY,COMPLETED,2025-12-08,,0,,28a460c1-a8dc-4c34-a9fc-3a1c4c6e0df4,2025-12-12 15:03:10.481841,2025-12-10 15:46:18.626874,2025-12-12 15:03:10.481841
a10d15a2-0771-45af-b4f6-b384fa43715b,6daf1120-2e6a-488d-9174-51321f7308ca,Take Elyside tests,WEEKLY,NOT_STARTED,2025-12-08,,0,,a10d15a2-0771-45af-b4f6-b384fa43715b,,2025-12-10 15:46:54.977977,2025-12-10 15:46:54.977989
9d20985d-3c38-473a-b180-d9a1182c7adf,6daf1120-2e6a-488d-9174-51321f7308ca,Start planning a trip to NY,WEEKLY,NOT_STARTED,2025-12-08,,0,,9d20985d-3c38-473a-b180-d9a1182c7adf,,2025-12-10 15:47:06.805201,2025-12-10 15:47:06.805214
04ed57ab-29c2-49ec-bdbe-812a67174b0d,6daf1120-2e6a-488d-9174-51321f7308ca,Succeed with my exercise and nutrition routines,WEEKLY,STARTED,2025-12-08,,0,,04ed57ab-29c2-49ec-bdbe-812a67174b0d,,2025-12-10 15:46:06.878773,2025-12-10 15:47:08.877702
aca8cc34-adf7-4f29-8048-c8fdb5cec1d2,6daf1120-2e6a-488d-9174-51321f7308ca,Figure out my top priorities to help with fundraising,WEEKLY,STARTED,2025-12-08,,0,,aca8cc34-adf7-4f29-8048-c8fdb5cec1d2,,2025-12-10 15:46:29.808667,2025-12-10 15:47:15.520874
